split,duplicate_of_split,duplicate_key,review_id,source,category,product_name,raw_text,aspect,sentiment_text,sentiment_polarity,model_input,label,original_aspect,normalization_reason
validation,train,[속성] 가격 [문장] 가격도 저렴해요.,713598,쇼핑몰,남성화장품,OO 질** 쉐이빙폼 175g 1개,매번 사용하는 제품이라 또 구매했어요. 폼이 부드럽고 면도가 깔끔하게 되는 거 같습니다. 가격도 저렴해요.,가격,가격도 저렴해요.,1,[속성] 가격 [문장] 가격도 저렴해요.,0,가격,unchanged
validation,train,[속성] 지속력/유지력 [문장] 지속력도 좋고,1029777,SNS,남성화장품,OO 마** 향수 ,독한 향수와 강한 알코올 냄새를 싫어하는데 OO OOO향수가 자연스럽게 오래 향기가 지속된다고 해서 남자친구에게 주려고 하나 구입해 보았습니다. OO OOO향수는 정말 가성비가 좋은 거 같아요. 남자친구를 준 향수는 씨솔트&세이지 향인데 푸른 바다가 생각나는 중성적인 느낌의 시크한 향이 남자분들이 사용하기 좋은 향입니다. 지속력도 좋고 피부 헤어 등 멀티 향수로 가능해서 남자친구도 꽤나 만족합니다. 맡아보니 생각보다 지속력도 좋고 남성여성 모두 사용할 수 있는 중성적인 향이더라고요. 여자들이 뿌려도 부담스럽지 않을 거 같아 저도 하나 구매해 사용하려고요.,지속력/유지력,지속력도 좋고,1,[속성] 지속력/유지력 [문장] 지속력도 좋고,0,지속력/유지력,unchanged
validation,train,[속성] 향 [문장] 향도 좋고,1029902,SNS,남성화장품,OO 스킨로션 200ml ,"요즘 남자들도 너무 강한 향보다 은은한 향을 더 좋아한다고 해요~ 향도 좋고 남자들이 쓰기 편한 ㅇㅇㅇ들어갑니다~! 처음 이 제품 사용하시는 분은 제형의 질감이 좀 묽다고 생각하실 수도 있는데, 그래서 피부에 더 빨리 스며들긴 합니다. 끈적임 없이 잘 흡수되어서 건성피부에도 충분히 수분감이 느껴지구요. 향이 산뜻하면서도 은은해서 좋습니다. 이거 한번이라도 써보신 분들은 거의 이것만 쓴다고 하시네요~ 향도 무난하고 모든 피부타입에 꽤 괜찮은 제품 ㅇㅇㅇ를 추천합니다~!",향,향도 좋고,1,[속성] 향 [문장] 향도 좋고,0,향,unchanged
validation,train,[속성] 흡수력 [문장] 끈적임 없이,1029902,SNS,남성화장품,OO 스킨로션 200ml ,"요즘 남자들도 너무 강한 향보다 은은한 향을 더 좋아한다고 해요~ 향도 좋고 남자들이 쓰기 편한 ㅇㅇㅇ들어갑니다~! 처음 이 제품 사용하시는 분은 제형의 질감이 좀 묽다고 생각하실 수도 있는데, 그래서 피부에 더 빨리 스며들긴 합니다. 끈적임 없이 잘 흡수되어서 건성피부에도 충분히 수분감이 느껴지구요. 향이 산뜻하면서도 은은해서 좋습니다. 이거 한번이라도 써보신 분들은 거의 이것만 쓴다고 하시네요~ 향도 무난하고 모든 피부타입에 꽤 괜찮은 제품 ㅇㅇㅇ를 추천합니다~!",흡수력,끈적임 없이,1,[속성] 흡수력 [문장] 끈적임 없이,0,흡수력,unchanged
validation,train,[속성] 자극성 [문장] 피부자극은 없고,709610,쇼핑몰,남성화장품,OO 스** 쉐이브 젤 195g 1개,젤이라선지 거품이 쫀쫀해서 면도기가 잘라낸 수염을 잘 붙잡는 장점이 있으나 너무 쫀쫀해서 면도기 행구기가 힘듭니다. 뜨거운 물에 담궈 한참 흔들어야 해서 사용하기 불편합니다. 피부자극은 없고 향은 무난합니다.,자극성,피부자극은 없고,1,[속성] 자극성 [문장] 피부자극은 없고,0,자극성,unchanged
validation,train,[속성] 향 [문장] 향은 무난합니다.,709610,쇼핑몰,남성화장품,OO 스** 쉐이브 젤 195g 1개,젤이라선지 거품이 쫀쫀해서 면도기가 잘라낸 수염을 잘 붙잡는 장점이 있으나 너무 쫀쫀해서 면도기 행구기가 힘듭니다. 뜨거운 물에 담궈 한참 흔들어야 해서 사용하기 불편합니다. 피부자극은 없고 향은 무난합니다.,향,향은 무난합니다.,1,[속성] 향 [문장] 향은 무난합니다.,0,향,unchanged
validation,train,[속성] 흡수력 [문장] 끈적이지 않아서,1026541,SNS,남성화장품,OO 포 맨 올인원 플루이드 150ml,끈적이는 제품은 진짜 바르기도 싫은 1인입니다. 저뿐만 아니라 제 주위의 남자들한테 물어보니 끈적이는 제품이 제일 싫다고 하네요...!! 이 제품은 끈적이지 않아서 2년 넘게 사용하고 있는 제품입니다!! 여름철 남성 기초 제품으로 저는 추천을 드리고 싶어요! 여름에는 끈적이는 제품 쓰면 덥기까지 해서 사용감이 좋지 않은데 이 제품은 피부에 바로 흡수가 되어 끈적이지 않습니다~~ 그래서 여름에 사용하기 좋은 로션인 것 같아요~~또한 ㅇㅇㅇ라 성분도 착해서 피부에 트러블도 생기지 않고 2년 정도 꾸준히 사용하니 주름 개선도 된 것 같아서 만족하고 있습니다!!! 앞으로도 쭈욱 이 제품 사용할 것 같아요~ :) 무엇보다 가격도 너무 저렴하잖아요...!! 항상 사용하는 제 필수템입니다!! 간편한 남자 올인원 로션 찾으시면 이 제품 추천 드리고 싶습니다!,흡수력,끈적이지 않아서,1,[속성] 흡수력 [문장] 끈적이지 않아서,0,흡수력,unchanged
validation,train,[속성] 성분 [문장] 성분도 착해서,1026541,SNS,남성화장품,OO 포 맨 올인원 플루이드 150ml,끈적이는 제품은 진짜 바르기도 싫은 1인입니다. 저뿐만 아니라 제 주위의 남자들한테 물어보니 끈적이는 제품이 제일 싫다고 하네요...!! 이 제품은 끈적이지 않아서 2년 넘게 사용하고 있는 제품입니다!! 여름철 남성 기초 제품으로 저는 추천을 드리고 싶어요! 여름에는 끈적이는 제품 쓰면 덥기까지 해서 사용감이 좋지 않은데 이 제품은 피부에 바로 흡수가 되어 끈적이지 않습니다~~ 그래서 여름에 사용하기 좋은 로션인 것 같아요~~또한 ㅇㅇㅇ라 성분도 착해서 피부에 트러블도 생기지 않고 2년 정도 꾸준히 사용하니 주름 개선도 된 것 같아서 만족하고 있습니다!!! 앞으로도 쭈욱 이 제품 사용할 것 같아요~ :) 무엇보다 가격도 너무 저렴하잖아요...!! 항상 사용하는 제 필수템입니다!! 간편한 남자 올인원 로션 찾으시면 이 제품 추천 드리고 싶습니다!,성분,성분도 착해서,1,[속성] 성분 [문장] 성분도 착해서,0,성분,unchanged
validation,train,[속성] 보습력/수분감 [문장] 건조합니다.,712192,쇼핑몰,남성화장품,OO 릴** 옴므 애프터쉐이브 스킨 140ml 1개,사계절 사용하고 있습니다. 여름에 바르면 좀 더 좋은 것 같습니다. 겨울에 바르면 좀 건조합니다. 향도 좋고 가성비 좋습니다.,보습력/수분감,건조합니다.,-1,[속성] 보습력/수분감 [문장] 건조합니다.,1,보습력/수분감/쿨링감,merged_duplicate_label
validation,train,[속성] 가격 [문장] 가성비 좋습니다.,712192,쇼핑몰,남성화장품,OO 릴** 옴므 애프터쉐이브 스킨 140ml 1개,사계절 사용하고 있습니다. 여름에 바르면 좀 더 좋은 것 같습니다. 겨울에 바르면 좀 건조합니다. 향도 좋고 가성비 좋습니다.,가격,가성비 좋습니다.,1,[속성] 가격 [문장] 가성비 좋습니다.,0,가격,unchanged
